city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
paris,subway,directions,subway.directions.which_exit_number,fr-FR,Which exit number?,Quelle sortie ?,Quelle sortie,Quelle sortie ?,,,,,,,
paris,subway,directions,subway.directions.do_i_need_to_transfer,fr-FR,Do I need to transfer?,Je dois changer ?,Je dois changer,Je dois changer ?,,,,,,,
paris,subway,reading_map,subway.reading_map.where_are_we,fr-FR,Where are we?,Où sommes-nous ?,Où sommes-nous,Où sommes-nous ?,,,,,,,
paris,subway,reading_map,subway.reading_map.is_this_the_right_direction,fr-FR,Is this the right direction?,C'est la bonne direction ?,C'est la bonne direction,C'est la bonne direction ?,,,,,,,
paris,taxi,getting_in,taxi.getting_in.hello,fr-FR,Hello,Bonjour,Bonjour,Bonjour,,,,,,,
paris,taxi,getting_in,taxi.getting_in.can_i_get_in,fr-FR,Can I get in?,Je peux monter ?,Je peux monter,Je peux monter ?,,,,,,,
paris,taxi,destination,taxi.destination.to_eiffel_tower_please,fr-FR,To Eiffel Tower please,À la Tour Eiffel s'il vous plaît,À la Tour Eiffel s'il vous plaît,À la Tour Eiffel s'il vous plaît,,,,,,,
paris,taxi,destination,taxi.destination.to_this_address_please,fr-FR,To this address please,À cette adresse s'il vous plaît,À cette adresse s'il vous plaît,À cette adresse s'il vous plaît,,,,,,,
paris,taxi,destination,taxi.destination.quickly_please,fr-FR,Quickly please,Vite s'il vous plaît,Vite s'il vous plaît,Vite s'il vous plaît,,,,,,,
paris,taxi,paying,taxi.paying.can_i_pay_by_card,fr-FR,Can I pay by card?,Je peux payer par carte ?,Je peux payer par carte,Je peux payer par carte ?,,,,,,,
paris,taxi,paying,taxi.paying.receipt_please,fr-FR,Receipt please,Le reçu s'il vous plaît,Le reçu s'il vous plaît,Le reçu s'il vous plaît,,,,,,,
paris,shopping,price,shopping.price.how_much_is_this,fr-FR,How much is this?,C'est combien ?,C'est combien,C'est combien ?,,,,,,,
paris,shopping,price,shopping.price.do_you_have_cheaper_ones,fr-FR,Do you have cheaper ones?,Vous avez moins cher ?,Vous avez moins cher,Vous avez moins cher ?,,,,,,,
paris,shopping,trying_on,shopping.trying_on.can_i_try_this_on,fr-FR,Can I try this on?,Je peux essayer ?,Je peux essayer,Je peux essayer ?,,,,,,,
paris,shopping,trying_on,shopping.trying_on.do_you_have_a_bigger_size,fr-FR,Do you have a bigger size?,Vous avez une plus grande taille ?,Vous avez une plus grande taille,Vous avez une plus grande taille ?,,,,,,,
paris,shopping,trying_on,shopping.trying_on.do_you_have_other_colors,fr-FR,Do you have other colors?,Vous avez d'autres couleurs ?,Vous avez d'autres couleurs,Vous avez d'autres couleurs ?,,,,,,,
paris,shopping,trying_on,shopping.trying_on.this_is_really_pretty,fr-FR,This is really pretty!,C'est vraiment joli !,C'est vraiment joli,C'est vraiment joli !,,,,,,,
paris,shopping,trying_on,shopping.trying_on.wow_so_cute,fr-FR,Wow! So cute!,Wow ! C'est mignon !,Wow C'est mignon,Wow ! C'est mignon !,,,,,,,
paris,shopping,paying,shopping.paying.ill_take_it,fr-FR,I'll take it,Je le prends,Je le prends,Je le prends,,,,,,,
paris,shopping,paying,shopping.paying.card_okay,fr-FR,Card okay?,Carte d'accord ?,Carte d'accord,Carte d'accord ?,,,,,,,
paris,shopping,paying,shopping.paying.tax_refund_available,fr-FR,Tax refund available?,Détaxe possible ?,Détaxe possible,Détaxe possible ?,,,,,,,
paris,hotel,checkin,hotel.checkin.id_like_to_check_in,fr-FR,I'd like to check in,Je voudrais faire le check-in,Je voudrais faire le check-in,Je voudrais faire le check-in,,,,,,,
paris,hotel,checkin,hotel.checkin.i_have_a_reservation,fr-FR,I have a reservation,J'ai une réservation,J'ai une réservation,J'ai une réservation,,,,,,,
paris,hotel,checkin,hotel.checkin.room_key_please,fr-FR,Room key please,La clé de la chambre s'il vous plaît,La clé de la chambre s'il vous plaît,La clé de la chambre s'il vous plaît,,,,,,,
paris,hotel,checkin,hotel.checkin.whats_the_wifi_password,fr-FR,What's the wifi password?,Quel est le mot de passe wifi ?,Quel est le mot de passe wifi,Quel est le mot de passe wifi ?,,,,,,,
paris,hotel,checkin,hotel.checkin.is_breakfast_included,fr-FR,Is breakfast included?,Le petit-déjeuner est inclus ?,Le petit-déjeuner est inclus,Le petit-déjeuner est inclus ?,,,,,,,
paris,hotel,room_service,hotel.room_service.more_towels_please,fr-FR,More towels please,Plus de serviettes s'il vous plaît,Plus de serviettes s'il vous plaît,Plus de serviettes s'il vous plaît,,,,,,,
paris,hotel,room_service,hotel.room_service.id_like_to_order_room_service,fr-FR,I'd like to order room service,Je voudrais commander le room service,Je voudrais commander le room service,Je voudrais commander le room service,,,,,,,
paris,hotel,room_service,hotel.room_service.please_clean_the_room,fr-FR,Please clean the room,Nettoyez la chambre s'il vous plaît,Nettoyez la chambre s'il vous plaît,Nettoyez la chambre s'il vous plaît,,,,,,,
paris,hotel,checkout,hotel.checkout.id_like_to_check_out,fr-FR,I'd like to check out,Je voudrais faire le check-out,Je voudrais faire le check-out,Je voudrais faire le check-out,,,,,,,
paris,hotel,checkout,hotel.checkout.can_i_leave_my_luggage,fr-FR,Can I leave my luggage?,Je peux laisser mes bagages ?,Je peux laisser mes bagages,Je peux laisser mes bagages ?,,,,,,,
paris,pharmacy,symptoms,pharmacy.symptoms.i_have_a_headache,fr-FR,I have a headache,J'ai mal à la tête,J'ai mal à la tête,J'ai mal à la tête,,,,,,,
paris,pharmacy,symptoms,pharmacy.symptoms.i_have_a_stomachache,fr-FR,I have a stomachache,J'ai mal au ventre,J'ai mal au ventre,J'ai mal au ventre,,,,,,,
paris,pharmacy,symptoms,pharmacy.symptoms.i_have_a_cold,fr-FR,I have a cold,J'ai un rhume,J'ai un rhume,J'ai un rhume,,,,,,,
paris,pharmacy,symptoms,pharmacy.symptoms.i_have_a_fever,fr-FR,I have a fever,J'ai de la fièvre,J'ai de la fièvre,J'ai de la fièvre,,,,,,,
paris,pharmacy,medicine,pharmacy.medicine.do_you_have_painkillers,fr-FR,Do you have painkillers?,Vous avez des antidouleurs ?,Vous avez des antidouleurs,Vous avez des antidouleurs ?,,,,,,,
paris,pharmacy,medicine,pharmacy.medicine.cold_medicine_please,fr-FR,Cold medicine please,Médicament contre le rhume s'il vous plaît,Médicament contre le rhume s'il vous plaît,Médicament contre le rhume s'il vous plaît,,,,,,,
paris,pharmacy,directions,pharmacy.directions.where_is_the_hospital,fr-FR,Where is the hospital?,Où est l'hôpital ?,Où est l'hôpital,Où est l'hôpital ?,,,,,,,
paris,pharmacy,paying,pharmacy.paying.how_much,fr-FR,How much?,C'est combien ?,C'est combien,C'est combien ?,,,,,,,
paris,museum,ticket,museum.ticket.one_ticket_please,fr-FR,One ticket please,Un billet s'il vous plaît,Un billet s'il vous plaît,Un billet s'il vous plaît,,,,,,,
paris,museum,ticket,museum.ticket.student_discount_available,fr-FR,Student discount available?,Réduction étudiant possible ?,Réduction étudiant possible,Réduction étudiant possible ?,,,,,,,
paris,museum,info,museum.info.do_you_have_audio_guides,fr-FR,Do you have audio guides?,Vous avez des audioguides ?,Vous avez des audioguides,Vous avez des audioguides ?,,,,,,,
paris,museum,info,museum.info.what_time_do_you_close,fr-FR,What time do you close?,Vous fermez à quelle heure ?,Vous fermez à quelle heure,Vous fermez à quelle heure ?,,,,,,,
paris,museum,info,museum.info.are_there_special_exhibitions,fr-FR,Are there special exhibitions?,Il y a des expositions spéciales ?,Il y a des expositions spéciales,Il y a des expositions spéciales ?,,,,,,,
paris,museum,facilities,museum.facilities.where_is_the_restroom,fr-FR,Where is the restroom?,Où sont les toilettes ?,Où sont les toilettes,Où sont les toilettes ?,,,,,,,
paris,museum,facilities,museum.facilities.is_there_a_cafe,fr-FR,Is there a cafe?,Il y a un café ?,Il y a un café,Il y a un café ?,,,,,,,
paris,police,reporting,police.reporting.please_help,fr-FR,Please help,Aidez-moi s'il vous plaît,Aidez-moi s'il vous plaît,Aidez-moi s'il vous plaît,,,,,,,
paris,police,reporting,police.reporting.i_lost_my_wallet,fr-FR,I lost my wallet,J'ai perdu mon portefeuille,J'ai perdu mon portefeuille,J'ai perdu mon portefeuille,,,,,,,
paris,police,reporting,police.reporting.i_lost_my_passport,fr-FR,I lost my passport,J'ai perdu mon passeport,J'ai perdu mon passeport,J'ai perdu mon passeport,,,,,,,
paris,police,directions,police.directions.where_is_the_embassy,fr-FR,Where is the embassy?,Où est l'ambassade ?,Où est l'ambassade,Où est l'ambassade ?,,,,,,,
paris,police,help,police.help.can_you_speak_english,fr-FR,Can you speak English?,Vous parlez anglais ?,Vous parlez anglais,Vous parlez anglais ?,,,,,,,
paris,police,help,police.help.i_want_to_report,fr-FR,I want to report,Je veux faire une déclaration,Je veux faire une déclaration,Je veux faire une déclaration,,,,,,,
paris,police,help,police.help.i_need_an_interpreter,fr-FR,I need an interpreter,J'ai besoin d'un interprète,J'ai besoin d'un interprète,J'ai besoin d'un interprète,,,,,,,
paris,bar,ordering,bar.ordering.one_bottle_of_wine,fr-FR,One bottle of wine!,Une bouteille de vin !,Une bouteille de vin,Une bouteille de vin !,,,,,,,
paris,bar,ordering,bar.ordering.red_wine_please,fr-FR,Red wine please,Du vin rouge s'il vous plaît,Du vin rouge s'il vous plaît,Du vin rouge s'il vous plaît,,,,,,,
paris,bar,ordering,bar.ordering.what_do_you_recommend,fr-FR,What do you recommend?,Qu'est-ce que vous recommandez ?,Qu'est-ce que vous recommandez,Qu'est-ce que vous recommandez ?,,,,,,,
paris,bar,ordering,bar.ordering.just_one_more_drink,fr-FR,Just one more drink!,Encore un verre !,Encore un verre,Encore un verre !,,,,,,,
paris,bar,toasting,bar.toasting.cheers,fr-FR,Cheers!,Santé !,Santé,Santé !,,,,,,,
paris,bar,toasting,bar.toasting.to_new_friends,fr-FR,To new friends!,Aux nouveaux amis !,Aux nouveaux amis,Aux nouveaux amis !,,,,,,,
paris,bar,toasting,bar.toasting.this_place_is_great,fr-FR,This place is great!,Cet endroit est génial !,Cet endroit est génial,Cet endroit est génial !,,,,,,,
paris,bar,socializing,bar.socializing.where_are_you_from,fr-FR,Where are you from?,Vous venez d'où ?,Vous venez d'où,Vous venez d'où ?,,,,,,,
paris,bar,socializing,bar.socializing.can_i_get_your_number,fr-FR,Can I get your number?,Je peux avoir votre numéro ?,Je peux avoir votre numéro,Je peux avoir votre numéro ?,,,,,,,
paris,bar,socializing,bar.socializing.do_you_come_here_often,fr-FR,Do you come here often?,Vous venez souvent ici ?,Vous venez souvent ici,Vous venez souvent ici ?,,,,,,,
