city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
mexico city,cafe,casual_chat,cafe.casual_chat.nice_atmosphere_here,es-MX,Nice atmosphere here!,¡Qué bonito ambiente!,Qué bonito ambiente,¡Qué bonito ambiente!,,,,,,,
mexico city,cafe,casual_chat,cafe.casual_chat.so_instagram-worthy,es-MX,So Instagram-worthy!,¡Muy instagrameable!,Muy instagrameable,¡Muy instagrameable!,,,,,,,
mexico city,cafe,casual_chat,cafe.casual_chat.thanks_for_the_cafe_recommendation,es-MX,Thanks for the cafe recommendation!,¡Gracias por recomendar el café!,Gracias por recomendar el café,¡Gracias por recomendar el café!,,,,,,,
mexico city,metro,buying_ticket,metro.buying_ticket.i_want_to_recharge_metro_card,es-MX,I want to recharge metro card,Quiero recargar mi tarjeta del metro,Quiero recargar mi tarjeta del metro,Quiero recargar mi tarjeta del metro,,,,,,,
mexico city,metro,buying_ticket,metro.buying_ticket.single_ticket_please,es-MX,Single ticket please,Un boleto sencillo por favor,Un boleto sencillo por favor,Un boleto sencillo por favor,,,,,,,
mexico city,metro,directions,metro.directions.how_do_i_get_to_zocalo,es-MX,How do I get to Zócalo?,¿Cómo llego al Zócalo?,Cómo llego al Zócalo,¿Cómo llego al Zócalo?,,,,,,,
mexico city,metro,directions,metro.directions.which_exit_number,es-MX,Which exit number?,¿Qué salida?,Qué salida,¿Qué salida?,,,,,,,
mexico city,metro,directions,metro.directions.do_i_need_to_transfer,es-MX,Do I need to transfer?,¿Necesito hacer transbordo?,Necesito hacer transbordo,¿Necesito hacer transbordo?,,,,,,,
mexico city,metro,reading_map,metro.reading_map.where_are_we,es-MX,Where are we?,¿Dónde estamos?,Dónde estamos,¿Dónde estamos?,,,,,,,
mexico city,metro,reading_map,metro.reading_map.is_this_the_right_direction,es-MX,Is this the right direction?,¿Es esta la dirección correcta?,Es esta la dirección correcta,¿Es esta la dirección correcta?,,,,,,,
mexico city,taxi,getting_in,taxi.getting_in.hello,es-MX,Hello,Buenas,Buenas,Buenas,,,,,,,
mexico city,taxi,getting_in,taxi.getting_in.can_i_get_in,es-MX,Can I get in?,¿Me puedo subir?,Me puedo subir,¿Me puedo subir?,,,,,,,
mexico city,taxi,destination,taxi.destination.to_reforma_please,es-MX,To Reforma please,A Reforma por favor,A Reforma por favor,A Reforma por favor,,,,,,,
mexico city,taxi,destination,taxi.destination.to_this_address_please,es-MX,To this address please,A esta dirección por favor,A esta dirección por favor,A esta dirección por favor,,,,,,,
mexico city,taxi,destination,taxi.destination.quickly_please,es-MX,Quickly please,Rápido por favor,Rápido por favor,Rápido por favor,,,,,,,
mexico city,taxi,paying,taxi.paying.can_i_pay_by_card,es-MX,Can I pay by card?,¿Puedo pagar con tarjeta?,Puedo pagar con tarjeta,¿Puedo pagar con tarjeta?,,,,,,,
mexico city,taxi,paying,taxi.paying.receipt_please,es-MX,Receipt please,El recibo por favor,El recibo por favor,El recibo por favor,,,,,,,
mexico city,shopping,price,shopping.price.how_much_is_this,es-MX,How much is this?,¿Cuánto cuesta esto?,Cuánto cuesta esto,¿Cuánto cuesta esto?,,,,,,,
mexico city,shopping,price,shopping.price.do_you_have_cheaper_ones,es-MX,Do you have cheaper ones?,¿Tiene algo más barato?,Tiene algo más barato,¿Tiene algo más barato?,,,,,,,
mexico city,shopping,trying_on,shopping.trying_on.can_i_try_this_on,es-MX,Can I try this on?,¿Me lo puedo probar?,Me lo puedo probar,¿Me lo puedo probar?,,,,,,,
mexico city,shopping,trying_on,shopping.trying_on.do_you_have_a_bigger_size,es-MX,Do you have a bigger size?,¿Tiene una talla más grande?,Tiene una talla más grande,¿Tiene una talla más grande?,,,,,,,
mexico city,shopping,trying_on,shopping.trying_on.do_you_have_other_colors,es-MX,Do you have other colors?,¿Tiene otros colores?,Tiene otros colores,¿Tiene otros colores?,,,,,,,
mexico city,shopping,trying_on,shopping.trying_on.this_is_really_pretty,es-MX,This is really pretty!,¡Está muy bonito!,Está muy bonito,¡Está muy bonito!,¡Está muy bonita!,Está muy bonita,¡Está muy bonita!,,,For feminine items
mexico city,shopping,trying_on,shopping.trying_on.wow_so_cute,es-MX,Wow! So cute!,¡Wow! ¡Está padrísimo!,Wow Está padrísimo,¡Wow! ¡Está padrísimo!,,,,,,,Mexican slang
mexico city,shopping,paying,shopping.paying.ill_take_it,es-MX,I'll take it,Me lo llevo,Me lo llevo,Me lo llevo,,,,,,,
mexico city,shopping,paying,shopping.paying.card_okay,es-MX,Card okay?,¿Tarjeta está bien?,Tarjeta está bien,¿Tarjeta está bien?,,,,,,,
mexico city,shopping,paying,shopping.paying.tax_refund_available,es-MX,Tax refund available?,¿Hay devolución de impuestos?,Hay devolución de impuestos,¿Hay devolución de impuestos?,,,,,,,
mexico city,hotel,checkin,hotel.checkin.id_like_to_check_in,es-MX,I'd like to check in,Quisiera hacer check-in,Quisiera hacer check-in,Quisiera hacer check-in,,,,,,,
mexico city,hotel,checkin,hotel.checkin.i_have_a_reservation,es-MX,I have a reservation,Tengo una reservación,Tengo una reservación,Tengo una reservación,,,,,,,
mexico city,hotel,checkin,hotel.checkin.room_key_please,es-MX,Room key please,La llave del cuarto por favor,La llave del cuarto por favor,La llave del cuarto por favor,,,,,,,
mexico city,hotel,checkin,hotel.checkin.whats_the_wifi_password,es-MX,What's the wifi password?,¿Cuál es la contraseña del wifi?,Cuál es la contraseña del wifi,¿Cuál es la contraseña del wifi?,,,,,,,
mexico city,hotel,checkin,hotel.checkin.is_breakfast_included,es-MX,Is breakfast included?,¿El desayuno está incluido?,El desayuno está incluido,¿El desayuno está incluido?,,,,,,,
mexico city,hotel,room_service,hotel.room_service.more_towels_please,es-MX,More towels please,Más toallas por favor,Más toallas por favor,Más toallas por favor,,,,,,,
mexico city,hotel,room_service,hotel.room_service.id_like_to_order_room_service,es-MX,I'd like to order room service,Quisiera pedir servicio al cuarto,Quisiera pedir servicio al cuarto,Quisiera pedir servicio al cuarto,,,,,,,
mexico city,hotel,room_service,hotel.room_service.please_clean_the_room,es-MX,Please clean the room,Limpien el cuarto por favor,Limpien el cuarto por favor,Limpien el cuarto por favor,,,,,,,
mexico city,hotel,checkout,hotel.checkout.id_like_to_check_out,es-MX,I'd like to check out,Quisiera hacer check-out,Quisiera hacer check-out,Quisiera hacer check-out,,,,,,,
mexico city,hotel,checkout,hotel.checkout.can_i_leave_my_luggage,es-MX,Can I leave my luggage?,¿Puedo dejar mi equipaje?,Puedo dejar mi equipaje,¿Puedo dejar mi equipaje?,,,,,,,
mexico city,pharmacy,symptoms,pharmacy.symptoms.i_have_a_headache,es-MX,I have a headache,Me duele la cabeza,Me duele la cabeza,Me duele la cabeza,,,,,,,
mexico city,pharmacy,symptoms,pharmacy.symptoms.i_have_a_stomachache,es-MX,I have a stomachache,Me duele el estómago,Me duele el estómago,Me duele el estómago,,,,,,,
mexico city,pharmacy,symptoms,pharmacy.symptoms.i_have_a_cold,es-MX,I have a cold,Tengo gripa,Tengo gripa,Tengo gripa,,,,,,,Mexican term
mexico city,pharmacy,symptoms,pharmacy.symptoms.i_have_a_fever,es-MX,I have a fever,Tengo fiebre,Tengo fiebre,Tengo fiebre,,,,,,,
mexico city,pharmacy,medicine,pharmacy.medicine.do_you_have_painkillers,es-MX,Do you have painkillers?,¿Tiene analgésicos?,Tiene analgésicos,¿Tiene analgésicos?,,,,,,,
mexico city,pharmacy,medicine,pharmacy.medicine.cold_medicine_please,es-MX,Cold medicine please,Medicina para la gripa por favor,Medicina para la gripa por favor,Medicina para la gripa por favor,,,,,,,
mexico city,pharmacy,directions,pharmacy.directions.where_is_the_hospital,es-MX,Where is the hospital?,¿Dónde está el hospital?,Dónde está el hospital,¿Dónde está el hospital?,,,,,,,
mexico city,pharmacy,paying,pharmacy.paying.how_much,es-MX,How much?,¿Cuánto es?,Cuánto es,¿Cuánto es?,,,,,,,
mexico city,museum,ticket,museum.ticket.one_ticket_please,es-MX,One ticket please,Un boleto por favor,Un boleto por favor,Un boleto por favor,,,,,,,
mexico city,museum,ticket,museum.ticket.student_discount_available,es-MX,Student discount available?,¿Hay descuento de estudiante?,Hay descuento de estudiante,¿Hay descuento de estudiante?,,,,,,,
mexico city,museum,info,museum.info.do_you_have_audio_guides,es-MX,Do you have audio guides?,¿Tienen audioguías?,Tienen audioguías,¿Tienen audioguías?,,,,,,,
mexico city,museum,info,museum.info.what_time_do_you_close,es-MX,What time do you close?,¿A qué hora cierran?,A qué hora cierran,¿A qué hora cierran?,,,,,,,
mexico city,museum,info,museum.info.are_there_special_exhibitions,es-MX,Are there special exhibitions?,¿Hay exposiciones especiales?,Hay exposiciones especiales,¿Hay exposiciones especiales?,,,,,,,
mexico city,museum,facilities,museum.facilities.where_is_the_restroom,es-MX,Where is the restroom?,¿Dónde está el baño?,Dónde está el baño,¿Dónde está el baño?,,,,,,,
mexico city,museum,facilities,museum.facilities.is_there_a_cafe,es-MX,Is there a cafe?,¿Hay una cafetería?,Hay una cafetería,¿Hay una cafetería?,,,,,,,
mexico city,police,reporting,police.reporting.please_help,es-MX,Please help,Ayúdeme por favor,Ayúdeme por favor,Ayúdeme por favor,,,,,,,
mexico city,police,reporting,police.reporting.i_lost_my_wallet,es-MX,I lost my wallet,Perdí mi cartera,Perdí mi cartera,Perdí mi cartera,,,,,,,
mexico city,police,reporting,police.reporting.i_lost_my_passport,es-MX,I lost my passport,Perdí mi pasaporte,Perdí mi pasaporte,Perdí mi pasaporte,,,,,,,
mexico city,police,directions,police.directions.where_is_the_embassy,es-MX,Where is the embassy?,¿Dónde está la embajada?,Dónde está la embajada,¿Dónde está la embajada?,,,,,,,
mexico city,police,help,police.help.can_you_speak_english,es-MX,Can you speak English?,¿Habla inglés?,Habla inglés,¿Habla inglés?,,,,,,,
mexico city,police,help,police.help.i_want_to_report,es-MX,I want to report,Quiero hacer una denuncia,Quiero hacer una denuncia,Quiero hacer una denuncia,,,,,,,
mexico city,police,help,police.help.i_need_an_interpreter,es-MX,I need an interpreter,Necesito un intérprete,Necesito un intérprete,Necesito un intérprete,,,,,,,
mexico city,bar,ordering,bar.ordering.one_beer_please,es-MX,One beer please!,¡Una cerveza por favor!,Una cerveza por favor,¡Una cerveza por favor!,,,,,,,
mexico city,bar,ordering,bar.ordering.mezcal_please,es-MX,Mezcal please,Un mezcal por favor,Un mezcal por favor,Un mezcal por favor,,,,,,,Mexican spirit
mexico city,bar,ordering,bar.ordering.what_do_you_recommend,es-MX,What do you recommend?,¿Qué me recomienda?,Qué me recomienda,¿Qué me recomienda?,,,,,,,
mexico city,bar,ordering,bar.ordering.one_more_round,es-MX,One more round!,¡Otra ronda!,Otra ronda,¡Otra ronda!,,,,,,,
mexico city,bar,toasting,bar.toasting.cheers,es-MX,Cheers!,¡Salud!,Salud,¡Salud!,,,,,,,
mexico city,bar,toasting,bar.toasting.to_mexico,es-MX,To Mexico!,¡Por México!,Por México,¡Por México!,,,,,,,
mexico city,bar,toasting,bar.toasting.this_place_is_awesome,es-MX,This place is awesome!,¡Este lugar está padrísimo!,Este lugar está padrísimo,¡Este lugar está padrísimo!,,,,,,,Mexican slang
mexico city,bar,toasting,bar.toasting.viva_mexico,es-MX,Long live Mexico!,¡Viva México!,Viva México,¡Viva México!,,,,,,,
mexico city,bar,socializing,bar.socializing.where_are_you_from,es-MX,Where are you from?,¿De dónde eres?,De dónde eres,¿De dónde eres?,,,,,,,
mexico city,bar,socializing,bar.socializing.whats_your_instagram,es-MX,What's your Instagram?,¿Cuál es tu Instagram?,Cuál es tu Instagram,¿Cuál es tu Instagram?,,,,,,,
mexico city,bar,socializing,bar.socializing.can_i_get_your_number,es-MX,Can I get your number?,¿Me das tu número?,Me das tu número,¿Me das tu número?,,,,,,,
mexico city,bar,socializing,bar.socializing.do_you_come_here_often,es-MX,Do you come here often?,¿Vienes seguido aquí?,Vienes seguido aquí,¿Vienes seguido aquí?,,,,,,,
