city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
new delhi,restaurant,paying_bill,restaurant.paying_bill.can_i_pay_by_card,hi-IN,Can I pay by card?,कार्ड से पेमेंट होजाएगा?,Card se payment ho jayega?,कार्ड से पेमेंटहो जाएगा?,कार्ड से पेमेंट होजाएगा?,Card se payment ho jayega?,कार्ड से पेमेंटहो जाएगा?,कार्ड से पेमेंट होजाएगा?,Card se payment ho jayega?,कार्ड सेपेमेंट होजाएगा?,
new delhi,restaurant,paying_bill,restaurant.paying_bill.here_you_go_keep_the_change,hi-IN,Here you go keep the change,ये लीजिए बाकीरख लीजिए।,Ye lijiye baaki rakh lijiye.,ये लीजिएबाकी रखलीजिए।,ये लीजिए बाकीरख लीजिए।,Ye lijiye baaki rakh lijiye.,ये लीजिएबाकी रखलीजिए।,ये लीजिए बाकीरख लीजिए।,Ye lijiye baaki rakh lijiye.,ये लीजिएबाकी रखलीजिए।,
new delhi,restaurant,small_talk,restaurant.small_talk.the_food_was_awesome,hi-IN,The food was awesome,खाना बहुत बढ़ियाथा।,Khana bahut badhiya tha.,खाना बहुतबढ़िया था।,खाना बहुत बढ़ियाथा।,Khana bahut badhiya tha.,खाना बहुतबढ़िया था।,खाना बहुतबढ़िया था।,Khana bahut badhiya tha.,खाना बहुतबढ़िया था।,
new delhi,restaurant,small_talk,restaurant.small_talk.the_vibe_here_is_really_nice,hi-IN,The vibe here is really nice,यहां का माहौलबहुत अच्छा है।,Yahan ka mahaul bahut accha hai.,यहां कामाहौल बहुतअच्छा है।,यहां का माहौलबहुत अच्छा है।,Yahan ka mahaul bahut accha hai.,यहां कामाहौल बहुतअच्छा है।,यहां का माहौलबहुत अच्छा है।,Yahan ka mahaul bahut accha hai.,यहां कामाहौलबहुत अच्छाहै।,
new delhi,restaurant,small_talk,restaurant.small_talk.next_time_ill_bring_my_friends_too,hi-IN,Next time I'll bring my friends too,अगली बार दोस्तोंको भी लाऊंगा।,Agli baar doston ko bhi laaunga.,अगली बारदोस्तों को भीलाऊंगा।,अगली बार दोस्तोंको भी लाऊंगी।,Agli baar doston ko bhi laaungi.,अगली बारदोस्तों को भीलाऊंगी।,अगली बारदोस्तों को भीलाऊंगा।,Agli baar doston ko bhi laaunga.,अगली बारदोस्तों कोभीलाऊंगा।,
new delhi,cafe,ordering,cafe.ordering.one_chai_please,hi-IN,One chai please,एक चाय दीजिए।,Ek chai dijiye.,एक चायदीजिए।,,,,,,,
new delhi,cafe,ordering,cafe.ordering.hot_please,hi-IN,Hot please,गरम चाहिए।,Garam chahiye.,गरम चाहिए।,,,,,,,
new delhi,cafe,ordering,cafe.ordering.to-go_please,hi-IN,To-go please,पार्सल में दीजिए।,Parcel mein dijiye.,पार्सल मेंदीजिए।,,,,,,,
new delhi,cafe,finding_facilities,cafe.finding_facilities.can_i_sit_here,hi-IN,Can I sit here?,यहां बैठ सकते हैं?,Yahan baith sakte hain?,यहां बैठसकते हैं?,यहां बैठ सकतीहूं?,Yahan baith sakti hoon?,यहां बैठसकती हूं?,यहां बैठ सकताहूं?,Yahan baith sakta hoon?,यहां बैठसकता हूं?,
new delhi,cafe,finding_facilities,cafe.finding_facilities.any_seats_with_outlets,hi-IN,Any seats with outlets?,चार्जिंग पॉइंटवाली सीट है?,Charging point wali seat hai?,चार्जिंग पॉइंटवाली सीट है?,,,,,,,
new delhi,cafe,finding_facilities,cafe.finding_facilities.whats_the_wifi_password,hi-IN,What's the wifi password?,वाईफाई कापासवर्ड क्या है?,WiFi ka password kya hai?,वाईफाई कापासवर्ड क्याहै?,,,,,,,
new delhi,cafe,casual_chat,cafe.casual_chat.nice_atmosphere_here,hi-IN,Nice atmosphere here!,यहां का वाइबबढ़िया है!,Yahan ka vibe badhiya hai!,यहां का वाइबबढ़िया है!,,,,,,,
new delhi,cafe,casual_chat,cafe.casual_chat.so_instagram-worthy,hi-IN,So Instagram-worthy!,बहुत इंस्टाग्रामेबलहै!,Bahut instagrammable hai!,बहुतइंस्टाग्रामेबलहै!,,,,,,,
new delhi,cafe,casual_chat,cafe.casual_chat.thanks_for_the_cafe_recommendation,hi-IN,Thanks for the cafe recommendation!,कैफे रेकमेंड करनेके लिए थैंक्स!,Cafe recommend karne ke liye thanks!,कैफे रेकमेंडकरने के लिएथैंक्स!,,,,,,,
new delhi,metro,buying_ticket,metro.buying_ticket.i_want_to_recharge_metro_card,hi-IN,I want to recharge metro card,मेट्रो कार्ड रीचार्जकरना है।,Metro card recharge karna hai.,मेट्रो कार्डरीचार्ज करनाहै।,,,,,,,
new delhi,metro,buying_ticket,metro.buying_ticket.token_please,hi-IN,Token please,टोकन दीजिए।,Token dijiye.,टोकनदीजिए।,,,,,,,
new delhi,metro,directions,metro.directions.how_do_i_get_to_connaught_place,hi-IN,How do I get to Connaught Place?,कनॉट प्लेस कैसेजाऊं?,Connaught Place kaise jaun?,कनॉट प्लेसकैसे जाऊं?,,,,,,,
new delhi,metro,directions,metro.directions.which_gate_number,hi-IN,Which gate number?,कौन सा गेट है?,Kaun sa gate hai?,कौन सा गेटहै?,,,,,,,
new delhi,metro,directions,metro.directions.do_i_need_to_change_lines,hi-IN,Do I need to change lines?,लाइन चेंज करनीपड़ेगी?,Line change karni padegi?,लाइन चेंजकरनी पड़ेगी?,,,,,,,
new delhi,metro,reading_map,metro.reading_map.where_are_we,hi-IN,Where are we?,हम कहां हैं?,Hum kahan hain?,हम कहां हैं?,,,,,,,
new delhi,metro,reading_map,metro.reading_map.is_this_the_right_direction,hi-IN,Is this the right direction?,ये सही दिशा है?,Ye sahi disha hai?,ये सही दिशाहै?,,,,,,,
new delhi,auto,getting_in,auto.getting_in.auto_chalega,hi-IN,Will you go?,ऑटो चलेगा?,Auto chalega?,ऑटो चलेगा?,,,,,,,
new delhi,auto,getting_in,auto.getting_in.meter_se_chaloge,hi-IN,Will you go by meter?,मीटर से चलोगे?,Meter se chaloge?,मीटर सेचलोगे?,,,,,,,
new delhi,auto,destination,auto.destination.to_india_gate_please,hi-IN,To India Gate please,इंडिया गेट चलिए।,India Gate chaliye.,इंडिया गेटचलिए।,,,,,,,
new delhi,auto,destination,auto.destination.to_this_address_please,hi-IN,To this address please,इस एड्रेस पेचलिए।,Is address pe chaliye.,इस एड्रेस पेचलिए।,,,,,,,
new delhi,auto,destination,auto.destination.jaldi_chalao,hi-IN,Drive fast,जल्दी चलाओ।,Jaldi chalao.,जल्दीचलाओ।,,,,,,,
new delhi,auto,paying,auto.paying.how_much,hi-IN,How much?,कितने पैसे?,Kitne paise?,कितने पैसे?,,,,,,,
new delhi,auto,paying,auto.paying.paytm_ok,hi-IN,Paytm ok?,पेटीएम चलेगा?,Paytm chalega?,पेटीएमचलेगा?,,,,,,,
new delhi,shopping,price,shopping.price.how_much_is_this,hi-IN,How much is this?,ये कितने का है?,Ye kitne ka hai?,ये कितने काहै?,,,,,,,
new delhi,shopping,price,shopping.price.thoda_kam_karo,hi-IN,Reduce the price a bit,थोड़ा कम करो।,Thoda kam karo.,थोड़ा कमकरो।,,,,,,,
new delhi,shopping,trying_on,shopping.trying_on.can_i_try_this_on,hi-IN,Can I try this on?,ये पहन के देखसकता हूं?,Ye pehen ke dekh sakta hoon?,ये पहन केदेख सकताहूं?,ये पहन के देखसकती हूं?,Ye pehen ke dekh sakti hoon?,ये पहन केदेख सकतीहूं?,ये पहन के देखसकता हूं?,Ye pehen ke dekh sakta hoon?,ये पहन केदेख सकताहूं?,
new delhi,shopping,trying_on,shopping.trying_on.do_you_have_a_bigger_size,hi-IN,Do you have a bigger size?,बड़ा साइज़ है?,Bada size hai?,बड़ा साइज़है?,,,,,,,
new delhi,shopping,trying_on,shopping.trying_on.do_you_have_other_colors,hi-IN,Do you have other colors?,और कलर है?,Aur color hai?,और कलर है?,,,,,,,
new delhi,shopping,trying_on,shopping.trying_on.this_is_really_pretty,hi-IN,This is really pretty!,ये बहुत सुंदर है!,Ye bahut sundar hai!,ये बहुत सुंदरहै!,,,,,,,
new delhi,shopping,trying_on,shopping.trying_on.wow_so_cute,hi-IN,Wow! So cute!,वाह! बहुत क्यूट है!,Wah! Bahut cute hai!,वाह! बहुतक्यूट है!,,,,,,,
new delhi,shopping,paying,shopping.paying.ill_take_it,hi-IN,I'll take it,ये ले लूंगा।,Ye le lunga.,ये ले लूंगा।,ये ले लूंगी।,Ye le lungi.,ये ले लूंगी।,ये ले लूंगा।,Ye le lunga.,ये ले लूंगा।,
new delhi,shopping,paying,shopping.paying.card_chalega,hi-IN,Card ok?,कार्ड चलेगा?,Card chalega?,कार्ड चलेगा?,,,,,,,
new delhi,shopping,paying,shopping.paying.bill_please,hi-IN,Bill please,बिल दीजिए।,Bill dijiye.,बिल दीजिए।,,,,,,,
new delhi,hotel,checkin,hotel.checkin.id_like_to_check_in,hi-IN,I'd like to check in,चेक-इन करना है।,Check-in karna hai.,चेक-इनकरना है।,,,,,,,
new delhi,hotel,checkin,hotel.checkin.i_have_a_booking,hi-IN,I have a booking,मेरी बुकिंग है।,Meri booking hai.,मेरी बुकिंग है।,,,,,,,
new delhi,hotel,checkin,hotel.checkin.room_key_please,hi-IN,Room key please,रूम की चाबीदीजिए।,Room ki chabi dijiye.,रूम की चाबीदीजिए।,,,,,,,
new delhi,hotel,checkin,hotel.checkin.whats_the_wifi_password,hi-IN,What's the wifi password?,वाईफाई कापासवर्ड क्या है?,WiFi ka password kya hai?,वाईफाई कापासवर्ड क्याहै?,,,,,,,
new delhi,hotel,checkin,hotel.checkin.is_breakfast_included,hi-IN,Is breakfast included?,ब्रेकफास्ट इंक्लूडहै?,Breakfast include hai?,ब्रेकफास्टइंक्लूड है?,,,,,,,
new delhi,hotel,room_service,hotel.room_service.more_towels_please,hi-IN,More towels please,और तौलियेदीजिए।,Aur tauliye dijiye.,और तौलियेदीजिए।,,,,,,,
new delhi,hotel,room_service,hotel.room_service.id_like_to_order_room_service,hi-IN,I'd like to order room service,रूम सर्विस ऑर्डरकरना है।,Room service order karna hai.,रूम सर्विसऑर्डर करनाहै।,,,,,,,
new delhi,hotel,room_service,hotel.room_service.please_clean_the_room,hi-IN,Please clean the room,रूम साफ़ करदीजिए।,Room saaf kar dijiye.,रूम साफ़ करदीजिए।,,,,,,,
new delhi,hotel,checkout,hotel.checkout.id_like_to_check_out,hi-IN,I'd like to check out,चेक-आउट करनाहै।,Check-out karna hai.,चेक-आउटकरना है।,,,,,,,
new delhi,hotel,checkout,hotel.checkout.can_i_leave_my_luggage,hi-IN,Can I leave my luggage?,सामान रख सकतेहैं?,Saman rakh sakte hain?,सामान रखसकते हैं?,सामान रख सकतीहूं?,Saman rakh sakti hoon?,सामान रखसकती हूं?,सामान रखसकता हूं?,Saman rakh sakta hoon?,सामान रखसकता हूं?,
new delhi,pharmacy,symptoms,pharmacy.symptoms.i_have_a_headache,hi-IN,I have a headache,सिर दर्द हो रहा है।,Sir dard ho raha hai.,सिर दर्द होरहा है।,,,,,,,
new delhi,pharmacy,symptoms,pharmacy.symptoms.i_have_a_stomachache,hi-IN,I have a stomachache,पेट दर्द हो रहा है।,Pet dard ho raha hai.,पेट दर्द हो रहाहै।,,,,,,,
new delhi,pharmacy,symptoms,pharmacy.symptoms.i_have_a_cold,hi-IN,I have a cold,सर्दी हो गई है।,Sardi ho gayi hai.,सर्दी हो गईहै।,,,,,,,
new delhi,pharmacy,symptoms,pharmacy.symptoms.i_have_a_fever,hi-IN,I have a fever,बुखार है।,Bukhar hai.,बुखार है।,,,,,,,
new delhi,pharmacy,medicine,pharmacy.medicine.do_you_have_painkillers,hi-IN,Do you have painkillers?,दर्द की दवा है?,Dard ki dawa hai?,दर्द की दवाहै?,,,,,,,
new delhi,pharmacy,medicine,pharmacy.medicine.cold_medicine_please,hi-IN,Cold medicine please,सर्दी की दवादीजिए।,Sardi ki dawa dijiye.,सर्दी की दवादीजिए।,,,,,,,
new delhi,pharmacy,directions,pharmacy.directions.where_is_the_hospital,hi-IN,Where is the hospital?,हॉस्पिटल कहां है?,Hospital kahan hai?,हॉस्पिटलकहां है?,,,,,,,
new delhi,pharmacy,paying,pharmacy.paying.how_much,hi-IN,How much?,कितने पैसे?,Kitne paise?,कितने पैसे?,,,,,,,
new delhi,museum,ticket,museum.ticket.one_ticket_please,hi-IN,One ticket please,एक टिकटदीजिए।,Ek ticket dijiye.,एक टिकटदीजिए।,,,,,,,
new delhi,museum,ticket,museum.ticket.student_discount_available,hi-IN,Student discount available?,स्टूडेंट डिस्काउंटमिलेगा?,Student discount milega?,स्टूडेंटडिस्काउंटमिलेगा?,,,,,,,
new delhi,museum,info,museum.info.do_you_have_audio_guides,hi-IN,Do you have audio guides?,ऑडियो गाइड है?,Audio guide hai?,ऑडियो गाइडहै?,,,,,,,
new delhi,museum,info,museum.info.what_time_do_you_close,hi-IN,What time do you close?,कितने बजे बंदहोता है?,Kitne baje band hota hai?,कितने बजे बंदहोता है?,,,,,,,
new delhi,museum,info,museum.info.are_there_special_exhibitions,hi-IN,Are there special exhibitions?,स्पेशल एग्जिबिशनहै?,Special exhibition hai?,स्पेशलएग्जिबिशनहै?,,,,,,,
new delhi,museum,facilities,museum.facilities.where_is_the_restroom,hi-IN,Where is the restroom?,टॉयलेट कहां है?,Toilet kahan hai?,टॉयलेट कहांहै?,,,,,,,
new delhi,museum,facilities,museum.facilities.is_there_a_cafe,hi-IN,Is there a cafe?,कैफे है?,Cafe hai?,कैफे है?,,,,,,,
new delhi,police,reporting,police.reporting.please_help,hi-IN,Please help,मदद कीजिए।,Madad kijiye.,मदद कीजिए।,,,,,,,
new delhi,police,reporting,police.reporting.i_lost_my_wallet,hi-IN,I lost my wallet,मेरा वॉलेट खोगया।,Mera wallet kho gaya.,मेरा वॉलेट खोगया।,,,,,,,
new delhi,police,reporting,police.reporting.i_lost_my_passport,hi-IN,I lost my passport,मेरा पासपोर्ट खोगया।,Mera passport kho gaya.,मेरा पासपोर्टखो गया।,,,,,,,
new delhi,police,directions,police.directions.where_is_the_embassy,hi-IN,Where is the embassy?,एंबेसी कहां है?,Embassy kahan hai?,एंबेसी कहांहै?,,,,,,,
new delhi,police,help,police.help.can_you_speak_english,hi-IN,Can you speak English?,अंग्रेज़ी बोल सकतेहो?,Angrezi bol sakte ho?,अंग्रेज़ी बोलसकते हो?,,,,,,,
new delhi,police,help,police.help.i_want_to_report,hi-IN,I want to report,रिपोर्ट करनी है।,Report karni hai.,रिपोर्ट करनीहै।,,,,,,,
new delhi,police,help,police.help.i_need_an_interpreter,hi-IN,I need an interpreter,ट्रांसलेटर चाहिए।,Translator chahiye.,ट्रांसलेटरचाहिए।,,,,,,,
new delhi,bar,ordering,bar.ordering.one_beer_please,hi-IN,One beer please!,एक बीयर दीजिए!,Ek beer dijiye!,एक बीयरदीजिए!,,,,,,,
new delhi,bar,ordering,bar.ordering.old_monk_and_coke,hi-IN,Old Monk and Coke,ओल्ड मॉन्क कोकके साथ।,Old Monk coke ke saath.,ओल्ड मॉन्ककोक केसाथ।,,,,,,,
new delhi,bar,ordering,bar.ordering.what_snacks_do_you_have,hi-IN,What snacks do you have?,स्नैक्स में क्या है?,Snacks mein kya hai?,स्नैक्स में क्याहै?,,,,,,,
new delhi,bar,ordering,bar.ordering.one_more_round,hi-IN,One more round!,एक और राउंड!,Ek aur round!,एक औरराउंड!,,,,,,,
new delhi,bar,toasting,bar.toasting.cheers,hi-IN,Cheers!,चियर्स!,Cheers!,चियर्स!,,,,,,,
new delhi,bar,toasting,bar.toasting.happy_birthday,hi-IN,Happy birthday!,हैप्पी बर्थडे!,Happy birthday!,हैप्पी बर्थडे!,,,,,,,
new delhi,bar,toasting,bar.toasting.this_place_rocks,hi-IN,This place rocks!,ये जगह झकास है!,Ye jagah jhakaas hai!,ये जगहझकास है!,,,,,,,
new delhi,bar,socializing,bar.socializing.where_are_you_from,hi-IN,Where are you from?,तुम कहां से हो?,Tum kahan se ho?,तुम कहां सेहो?,,,,,,,
new delhi,bar,socializing,bar.socializing.whats_your_instagram,hi-IN,What's your Instagram?,तुम्हारा इंस्टाग्रामक्या है?,Tumhara Instagram kya hai?,तुम्हाराइंस्टाग्राम क्याहै?,,,,,,,
new delhi,bar,socializing,bar.socializing.do_you_come_here_often,hi-IN,Do you come here often?,तुम यहां अक्सरआते हो?,Tum yahan aksar aate ho?,तुम यहांअक्सर आतेहो?,तुम यहां अक्सरआती हो?,Tum yahan aksar aati ho?,तुम यहांअक्सर आतीहो?,तुम यहां अक्सरआते हो?,Tum yahan aksar aate ho?,तुम यहांअक्सरआते हो?,
